bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Spandau,460,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1269
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1270
Treptow-Köpenick,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1272
Neukölln,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1273
Steglitz-Zehlendorf,2500,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1274
Steglitz-Zehlendorf,5000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1275
Treptow-Köpenick,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1277
Charlottenburg-Wilmersdorf,14000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1278
Spandau,460,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1279
Spandau,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1281
Treptow-Köpenick,410,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1282
Treptow-Köpenick,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1283
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1284
Spandau,640,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1285
Neukölln,300,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1286
Treptow-Köpenick,470,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1288
Friedrichshain-Kreuzberg,3000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1289
Treptow-Köpenick,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1290
Charlottenburg-Wilmersdorf,14000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1291
Spandau,520,W - Wohngebiet,2026-01-01,,,0.5,Beitragsfrei nach BauGB,,1292
Treptow-Köpenick,490,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1293
Reinickendorf,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1297
